subbasin,year,area_ha,avg_water_m3,avg_flow_liter_s,avg_water_m3_wip,avg_flow_liter_s_wip,avg_flow_liter_s_wip_vector,avg_flow_liter_s_wip_pct,avg_tn_kg,avg_tp_kg,avg_tsed_kg,avg_nitrate_kg,avg_dissolved_p_kg,avg_tn_kg_wip,avg_tp_kg_wip,avg_tsed_kg_wip,avg_nitrate_kg_wip,avg_dissolved_p_kg_wip,avg_tn_kg_wip_vector,avg_tp_kg_wip_vector,avg_tsed_kg_wip_vector,avg_nitrate_kg_wip_vector,avg_dissolved_p_kg_wip_vector,avg_tn_wip_pct,avg_tp_wip_pct,avg_tsed_wip_pct,avg_nitrate_wip_pct,avg_dissolved_p_wip_pct
35,2012,712.68,279052.6667,107.66,278274.75,107.3591667,-0.3,-0.165,807.645,69.30833333,23874.78,76.72666667,1981.023333,642.4808333,51.43083333,15619.57,76.51166667,1592.496667,-165.1633333,-17.875,-8255.21,-0.215,-388.5266667,-20.79166667,-29.35416667,-35.49916667,-0.165,-20.65166667
35,2013,712.68,262227.6667,101.1683333,263636.9167,101.7133333,0.543333333,0.330833333,628.7633333,71.03,25775.26,72.10166667,1553.55,524.5916667,68.65416667,23696.61,72.48666667,1243.34,-104.17,-2.375833333,-2078.65,0.385833333,-310.21,-21.37083333,-17.74083333,-24.0275,0.330833333,-21.72833333
35,2014,712.68,297123.9167,114.6291667,297078.8333,114.6133333,-0.0175,-0.2025,817.145,78.27583333,27319.4,81.695,1892.77,693.2591667,68.41666667,21796.13,81.68333333,1567.705833,-123.8891667,-9.859166667,-5523.27,-0.0125,-325.0658333,-18.24416667,-16.76583333,-23.97833333,-0.2025,-18.12083333
36,2010,1.9542,657.5833333,0.253333333,655.6666667,0.251666667,-0.000833333,-0.6,0.511666667,0.08,114.9716667,0,1.499166667,0.465833333,0.049166667,65.14,0,1.373333333,-0.044166667,-0.031666667,-49.83333333,0,-0.1275,-8.121666667,-41.32083333,-44.07666667,-0.6,-7.5725
36,2011,1.9542,1159.916667,0.446666667,1161.916667,0.448333333,-0.000833333,0.158333333,0.82,0.115833333,161.5483333,0,1.410833333,0.755833333,0.069166667,91.195,0,1.304166667,-0.063333333,-0.045,-70.35166667,0,-0.105,-6.884166667,-37.515,-40.07916667,0.158333333,-7.035833333
36,2012,1.9542,789.3333333,0.305,788.75,0.303333333,-0.000833333,-0.256666667,0.708333333,0.0725,108.9475,0,1.7225,0.661666667,0.041666667,61.0675,0,1.618333333,-0.046666667,-0.031666667,-47.87833333,0,-0.105833333,-5.530833333,-44.87416667,-45.7075,-0.256666667,-5.3075
36,2013,1.9542,757.3333333,0.2925,758.0833333,0.2925,-0.000833333,0.1,0.531666667,0.075833333,114.3216667,0,1.2875,0.485,0.0425,63.67333333,0,1.175,-0.046666667,-0.033333333,-50.6475,0,-0.111666667,-9.245,-45.37583333,-45.29,0.1,-9.360833333
36,2014,1.9542,859.3333333,0.330833333,862.4166667,0.3325,0.000833333,0.493333333,0.636666667,0.081666667,122.7891667,0,1.386666667,0.545,0.045833333,68.07166667,0,1.184166667,-0.091666667,-0.0375,-54.715,0,-0.201666667,-14.11416667,-45.225,-45.0925,0.493333333,-14.51666667
37,2010,674.27,229339.4167,88.47833333,227978.5833,87.955,-0.523333333,-0.5075,492.105,56.92,22082.3425,59.66083333,1337.65,320.0516667,30.62333333,13204.45417,59.305,905.3575,-172.0508333,-26.29666667,-8877.888333,-0.353333333,-432.2933333,-31.0925,-44.34583333,-44.27,-0.5075,-30.75916667
37,2011,674.27,401319.3333,154.8308333,402590.9167,155.32,0.491666667,0.24,892.6208333,94.00333333,38096.255,104.3975,1483.5025,591.9533333,47.31,17811.96583,104.7283333,989.7108333,-300.6675,-46.69333333,-20284.28917,0.330833333,-493.7908333,-32.85916667,-42.68083333,-45.27916667,0.24,-33.06416667
